state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
43000000	7.742	10.611	4.8163E-2	0.2566	0.8608	1.2784	0.3135	0.2296	0.2051	0.2517	0.2940	0.2320	0.2297	0.2443	8.7254E-4	6.2811E-4	8.062E-4	0.6835	-9.5143E-3	1.639	1.600	29.719
44000000	8.151	8.879	5.3795E-3	5.6298E-2	0.9536	1.0928	0.3118	0.2307	0.2011	0.2564	0.2967	0.2204	0.2405	0.2424	7.4389E-4	5.8413E-4	6.8191E-4	0.7307	-1.7727E-2	4.305	1.672	30.566
45000000	5.927	10.444	6.9748E-2	0.3549	0.9665	1.0670	0.3098	0.2273	0.2048	0.2581	0.2832	0.2234	0.2415	0.2519	9.1616E-4	8.2678E-4	8.6444E-4	0.8161	-2.8386E-2	1.001	1.589	28.224
46000000	8.745	8.621	1.1137E-2	0.3504	0.9177	1.1647	0.3057	0.2317	0.2032	0.2595	0.2960	0.2240	0.2303	0.2496	8.5313E-4	6.5949E-4	8.3773E-4	0.7447	-3.5033E-2	1.413	1.612	26.891
47000000	8.701	6.017	3.1242E-2	0.8613	0.9500	1.1000	0.3135	0.2391	0.1976	0.2498	0.2952	0.2136	0.2346	0.2567	8.9861E-4	7.6886E-4	8.7075E-4	0.8623	-3.8415E-2	2.023	1.602	26.874
48000000	8.511	5.168	0.2414	0.1753	0.8679	1.2643	0.3183	0.2312	0.1966	0.2540	0.2963	0.2222	0.2271	0.2544	1.0184E-3	8.5574E-4	9.1072E-4	0.8325	5.7756E-3	3.715	1.740	24.854
49000000	8.597	7.912	0.1531	0.1906	0.9544	1.0912	0.3167	0.2307	0.1987	0.2539	0.2921	0.2214	0.2361	0.2505	9.3378E-4	9.6562E-4	7.8317E-4	0.9512	3.9027E-2	1.687	1.639	28.023
50000000	10.447	8.046	0.1377	0.2237	0.9023	1.1954	0.3182	0.2336	0.1968	0.2514	0.2933	0.2187	0.2417	0.2463	1.0219E-3	7.789E-4	8.505E-4	0.7455	2.3494E-2	0.514	1.651	29.554
51000000	8.559	4.948	0.1085	0.3469	0.9562	1.0876	0.3204	0.2280	0.1992	0.2523	0.2888	0.2315	0.2336	0.2460	1.0636E-3	8.8441E-4	9.6504E-4	0.8428	-5.2202E-2	1.550	1.731	26.290
52000000	7.492	7.232	4.9542E-2	0.3954	0.9436	1.1128	0.3137	0.2254	0.2020	0.2588	0.2886	0.2292	0.2321	0.2500	9.7461E-4	8.2286E-4	8.5724E-4	0.8227	-3.6164E-2	1.769	1.728	26.978
53000000	10.465	5.754	1.6359E-2	0.5307	0.8907	1.2186	0.3204	0.2261	0.2039	0.2496	0.2934	0.2171	0.2371	0.2524	9.48E-4	7.586E-4	8.5818E-4	0.8034	-1.113E-2	4.401	1.718	28.678
54000000	8.770	11.619	0.1193	0.6776	0.9792	1.0415	0.3147	0.2304	0.2029	0.2520	0.2954	0.2155	0.2348	0.2543	8.9647E-4	6.159E-4	8.5933E-4	0.6910	7.2012E-2	3.973	1.705	28.685
55000000	7.469	5.266	0.2478	0.2022	0.8679	1.2643	0.3132	0.2312	0.2036	0.2520	0.2961	0.2257	0.2344	0.2438	8.6193E-4	5.1417E-4	8.1733E-4	0.5749	-7.7585E-2	0.446	1.672	27.596
56000000	9.660	6.625	1.2216E-2	0.6610	0.9806	1.0387	0.3120	0.2305	0.1988	0.2587	0.2877	0.2277	0.2395	0.2451	8.685E-4	8.8234E-4	8.4761E-4	0.9495	1.6892E-2	0.569	1.582	27.846
