state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
277000000	6.633	8.832	0.3953	0.1768	0.2120	0.2160	0.3434	0.1853	0.1775	0.2938	0.6236	1.7528	4.4606E-3	15.603	12.358	694.084
278000000	6.115	8.163	0.3937	0.1829	0.2178	0.2056	0.3588	0.1819	0.1882	0.2712	0.6260	1.7480	4.4192E-3	17.099	12.334	717.021
279000000	6.165	8.817	0.3983	0.1803	0.2087	0.2126	0.3521	0.1938	0.1799	0.2742	0.6176	1.7649	4.3882E-3	16.217	12.563	726.144
280000000	6.781	8.484	0.3864	0.1630	0.2223	0.2283	0.3561	0.1749	0.1873	0.2817	0.6273	1.7454	4.4431E-3	16.322	12.624	715.586
281000000	6.387	8.481	0.3958	0.1640	0.2323	0.2078	0.3507	0.1761	0.1838	0.2894	0.6247	1.7506	4.2996E-3	16.919	12.617	731.307
282000000	6.112	8.430	0.4027	0.1670	0.2041	0.2262	0.3543	0.1903	0.1762	0.2791	0.6116	1.7768	4.3925E-3	16.586	12.321	714.671
283000000	6.575	9.264	0.3934	0.1660	0.2185	0.2220	0.3499	0.1874	0.1780	0.2847	0.6304	1.7392	4.4012E-3	16.383	12.240	712.592
284000000	6.174	8.781	0.3809	0.1669	0.2117	0.2405	0.3601	0.1900	0.1895	0.2604	0.6428	1.7144	4.3825E-3	16.826	12.426	725.467
285000000	6.543	10.186	0.3875	0.1694	0.2223	0.2209	0.3389	0.1940	0.1845	0.2826	0.6279	1.7442	4.2423E-3	16.898	12.372	737.257
286000000	6.647	10.243	0.4065	0.1694	0.2004	0.2237	0.3583	0.1874	0.1693	0.2850	0.6179	1.7642	4.5082E-3	16.577	12.266	713.364
287000000	6.302	9.172	0.3866	0.1829	0.2108	0.2198	0.3526	0.1787	0.1849	0.2838	0.6125	1.7750	4.5388E-3	15.786	12.486	707.439
288000000	6.376	8.780	0.3866	0.1693	0.2089	0.2352	0.3492	0.1903	0.1759	0.2846	0.6361	1.7278	4.3944E-3	16.649	12.411	725.327
289000000	6.358	8.450	0.3755	0.1815	0.2225	0.2205	0.3524	0.1877	0.1858	0.2741	0.6081	1.7838	4.4026E-3	16.145	12.441	715.486
290000000	6.207	9.256	0.3921	0.1685	0.2110	0.2284	0.3651	0.1905	0.1699	0.2746	0.6178	1.7643	4.4711E-3	15.394	12.812	713.471
291000000	6.787	9.445	0.3911	0.1675	0.2204	0.2209	0.3346	0.2044	0.1848	0.2762	0.6357	1.7286	4.4578E-3	16.068	12.310	702.811
292000000	6.182	9.613	0.4123	0.1647	0.2024	0.2205	0.3692	0.1923	0.1763	0.2622	0.6242	1.7517	4.3676E-3	16.110	12.782	723.911
293000000	6.678	8.788	0.3884	0.1767	0.2130	0.2219	0.3609	0.1958	0.1748	0.2685	0.6339	1.7322	4.5939E-3	14.991	12.610	704.503
294000000	5.917	8.234	0.3886	0.1781	0.2066	0.2267	0.3496	0.2007	0.1815	0.2682	0.6117	1.7765	4.1095E-3	16.693	12.807	727.212
295000000	6.658	9.235	0.3833	0.1644	0.2161	0.2362	0.3570	0.1834	0.1777	0.2820	0.6359	1.7282	4.4634E-3	15.399	12.295	705.630
296000000	6.741	9.262	0.4110	0.1682	0.2085	0.2122	0.3599	0.1850	0.1759	0.2792	0.6140	1.7721	4.5788E-3	15.094	12.127	694.650
297000000	7.294	9.153	0.4067	0.1666	0.2081	0.2185	0.3433	0.1971	0.1828	0.2768	0.6035	1.7930	4.4681E-3	16.052	12.494	706.852
298000000	6.853	8.577	0.3777	0.1863	0.2100	0.2261	0.3397	0.2013	0.1878	0.2712	0.6304	1.7392	4.5469E-3	17.244	12.648	723.880
299000000	6.327	8.810	0.3947	0.1703	0.2129	0.2220	0.3433	0.1930	0.1807	0.2830	0.6430	1.7139	4.5255E-3	16.209	12.083	708.804
300000000	6.550	9.031	0.3895	0.1694	0.2125	0.2286	0.3576	0.1767	0.1847	0.2810	0.6171	1.7659	4.2986E-3	16.000	12.386	723.155
301000000	6.576	8.391	0.3824	0.1750	0.2243	0.2183	0.3627	0.1738	0.1893	0.2741	0.6420	1.7159	4.203E-3	16.725	12.901	739.606
302000000	6.449	9.036	0.4011	0.1645	0.2105	0.2239	0.3624	0.1857	0.1745	0.2774	0.6248	1.7504	4.2783E-3	17.238	12.575	739.588
303000000	6.373	9.182	0.3810	0.1851	0.2209	0.2130	0.3512	0.2055	0.1716	0.2716	0.6131	1.7738	4.3913E-3	15.786	12.580	712.549
304000000	6.474	9.080	0.4034	0.1708	0.2169	0.2090	0.3394	0.1851	0.1923	0.2832	0.6270	1.7460	4.3952E-3	15.839	12.854	718.199
305000000	6.035	9.375	0.4021	0.1666	0.2161	0.2152	0.3510	0.1831	0.1899	0.2760	0.6266	1.7469	4.3439E-3	16.277	11.786	736.483
306000000	6.173	8.884	0.3933	0.1701	0.2168	0.2198	0.3581	0.1850	0.1819	0.2750	0.6143	1.7715	4.387E-3	16.352	12.474	717.523
307000000	6.237	9.226	0.3918	0.1538	0.2282	0.2263	0.3425	0.1934	0.1772	0.2869	0.6131	1.7737	4.3383E-3	16.473	12.413	723.027
308000000	6.236	9.105	0.3928	0.1800	0.2041	0.2232	0.3432	0.1946	0.1861	0.2762	0.6101	1.7798	4.4996E-3	16.275	12.912	718.669
