taxon	date
2008|Swine|A/swine/Guangdong/07/2008|China|H1N1	2008-01-01
2008|Swine|A/swine/Shandong/101/2008|China|H1N1	2008-01-01
2009|A/bat/Guatemala/153/2009|H17N10	2009-01-01
2009|A/bat/Guatemala/164/2009|H17N10	2009-01-01
2009|Avian|A/chicken/Cambodia/TLC1/2009|Cambodia|H5N1	2009-01-01
2009|Avian|A/northern_shovelerMissouri/196/2009|USA|H10N3	2009-01-01
2009|Human|A/Netherlands/761/2009|Netherlands|H3N2	2009-01-01
2009|Swine|A/swine/Guangdong/11/2009|China|H1N1	2009-01-01
2009|Swine|A/swine/Hubei/05/2009|China|H1N2	2009-01-01
2009|Swine|A/swine/Minnesota/02782/2009|USA|H3N2	2009-01-01
2009|Swine|A/swine/Shandong/327/2009|China|H1N1	2009-01-01
2010|A/bat/Guatemala/060/2010|H17N10	2010-01-01
2010|Avian|A/blue-winged_teal/Guatemala/CIP049-12/2010|Guatemala|H5N4	2010-01-01
2010|Avian|A/chicken/Cambodia/TKCMB8F/2010|Cambodia|H5N1	2010-01-01
2010|Avian|A/rosy-billed_pochard/Argentina/CIP051-1977/2010|Argentina|H6N2	2010-01-01
2010|Human|A/Netherlands/009/2010|Netherlands|H3N2	2010-01-01
2010|Swine|A/swine/Guangdong/1/2010|China|H1N2	2010-01-01
2010|Swine|A/swine/Indiana/A00968322/2010|USA|H3N2	2010-01-01
2011|Avian|A/heron/Cambodia/TM068/2011|Cambodia|H5N1	2011-01-01
2011|Human|A/California/NHRC0001/2011|USA|H3N2	2011-01-01
2011|Swine|A/swine/Iowa/A01202659/2011|USA|H3N2	2011-01-01
