state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	pInv	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
133000000	0.3379	1.3259	0.2585	0.3391	2.8662	0.8723	0.8458	0.2994	0.1782	0.2000	0.3224	1.3412E-3	0.874	0.199	16.251
134000000	0.2508	1.2987	0.1294	0.3013	3.0512	0.9686	0.8338	0.2971	0.1859	0.1939	0.3230	1.3094E-3	0.661	0.195	16.716
135000000	0.2693	1.2692	0.1918	0.1914	3.2337	0.8446	0.8708	0.3013	0.1809	0.1970	0.3208	1.4362E-3	0.073	0.179	15.398
136000000	0.2296	1.2131	0.2664	0.2917	3.1281	0.8712	0.8402	0.3013	0.1800	0.1947	0.3240	1.2738E-3	0.791	0.179	17.472
137000000	0.2275	1.3357	0.2828	0.2449	2.8908	1.0183	0.8294	0.2972	0.1796	0.1948	0.3285	1.2939E-3	0.614	0.160	16.253
138000000	0.2019	1.1348	0.2650	0.2726	3.1084	1.0173	0.8489	0.2996	0.1832	0.1939	0.3233	1.3369E-3	0.673	0.180	16.435
139000000	0.3063	1.2709	0.1650	0.2638	3.2476	0.7464	0.8673	0.2986	0.1809	0.1928	0.3277	1.3659E-3	0.096	0.163	16.855
140000000	0.3054	1.0955	0.2230	0.3907	3.1425	0.8429	0.8515	0.3013	0.1776	0.1965	0.3245	1.5358E-3	0.564	0.176	15.039
141000000	0.2927	1.1379	0.2617	0.3790	3.1331	0.7956	0.8513	0.2972	0.1811	0.1941	0.3276	1.4808E-3	0.263	0.175	15.370
142000000	0.3317	1.2737	0.2721	0.2815	2.8773	0.9636	0.8323	0.2936	0.1839	0.1938	0.3287	1.6638E-3	0.088	0.175	14.335
143000000	0.2735	1.1384	0.2979	0.2812	3.1258	0.8833	0.8536	0.2990	0.1792	0.1964	0.3254	1.5829E-3	0.165	0.158	14.249
144000000	0.3753	1.2989	0.1783	0.3649	2.9676	0.8149	0.8440	0.2960	0.1835	0.1928	0.3277	1.5224E-3	0.244	0.157	14.292
145000000	0.2907	1.2217	0.2667	0.1896	3.3022	0.7291	0.8661	0.3008	0.1814	0.1948	0.3230	1.4214E-3	0.271	0.172	15.627
146000000	0.3260	1.3112	0.1652	0.1834	3.0212	0.9929	0.8440	0.2996	0.1808	0.1966	0.3231	1.413E-3	0.328	0.171	15.251
147000000	0.2148	1.4080	0.2815	0.3381	2.7849	0.9728	0.8567	0.2999	0.1813	0.1935	0.3253	1.4775E-3	0.228	0.169	15.769
148000000	0.3037	1.2120	0.2660	0.2945	3.1527	0.7711	0.8508	0.3020	0.1771	0.1917	0.3291	1.4558E-3	0.412	0.186	15.464
149000000	0.4014	1.0965	0.1675	0.2153	3.1659	0.9534	0.8343	0.2935	0.1829	0.1967	0.3268	1.4278E-3	0.663	0.172	15.065
150000000	0.2442	1.1600	0.1861	0.3163	3.1709	0.9225	0.8515	0.3011	0.1786	0.1968	0.3235	1.5406E-3	0.426	0.163	15.923
151000000	0.2941	1.1122	0.2341	0.3253	3.1355	0.8988	0.8103	0.2993	0.1815	0.1960	0.3232	1.2977E-3	0.081	0.158	17.322
152000000	0.3456	1.2354	0.2307	0.2241	3.2413	0.7229	0.8188	0.2918	0.1783	0.1970	0.3329	1.2719E-3	0.233	0.162	18.115
153000000	0.1697	1.4282	0.2772	0.2736	2.9091	0.9421	0.8146	0.2943	0.1834	0.1964	0.3259	1.3216E-3	0.368	0.234	16.956
154000000	0.3608	1.1952	0.2580	0.2750	2.9709	0.9401	0.8698	0.2971	0.1836	0.1972	0.3222	1.304E-3	0.314	0.177	16.254
155000000	0.2204	1.1222	0.2117	0.2424	3.2996	0.9037	0.8299	0.2997	0.1755	0.1970	0.3277	1.3369E-3	0.157	0.161	16.929
156000000	0.3380	1.0283	0.2588	0.1524	3.2552	0.9673	0.8327	0.3012	0.1790	0.1975	0.3224	1.3782E-3	1.025	0.156	16.524
157000000	0.1904	1.4530	0.2369	0.2573	2.9640	0.8983	0.8686	0.2989	0.1819	0.1928	0.3264	1.4921E-3	0.603	0.158	15.257
158000000	0.2754	1.2646	0.2138	0.2663	3.0212	0.9587	0.8672	0.3021	0.1833	0.1924	0.3222	1.6077E-3	0.758	0.170	14.845
159000000	0.2920	1.2955	0.2452	0.2849	3.0412	0.8411	0.8613	0.2973	0.1808	0.1956	0.3263	1.3319E-3	0.157	0.179	16.334
160000000	0.2362	1.3070	0.2166	0.2815	3.1735	0.7853	0.8518	0.2999	0.1811	0.2002	0.3188	1.5484E-3	1.861	0.160	14.596
161000000	0.4311	0.9179	0.2674	0.3472	3.1410	0.8954	0.8588	0.3012	0.1790	0.1978	0.3220	1.4496E-3	0.760	0.199	15.572
162000000	0.2327	1.1146	0.1641	0.4054	3.0123	1.0710	0.8109	0.2939	0.1821	0.1971	0.3269	1.3611E-3	0.616	0.163	16.728
163000000	0.2527	1.1810	0.2243	0.2647	3.0652	1.0121	0.8292	0.3007	0.1790	0.1959	0.3243	1.3434E-3	0.104	0.159	16.439
164000000	0.3671	1.2241	0.3118	0.2936	3.0017	0.8017	0.8477	0.3002	0.1829	0.1933	0.3236	1.5627E-3	0.226	0.163	15.196
165000000	0.2533	1.3593	0.1993	0.2150	2.9530	1.0200	0.8547	0.3014	0.1791	0.1966	0.3229	1.2148E-3	0.487	0.171	18.102
166000000	0.2570	1.2684	0.2522	0.2030	2.9884	1.0309	0.8021	0.2948	0.1849	0.1922	0.3282	1.3765E-3	0.298	0.170	17.087
167000000	0.3422	1.2023	0.2211	0.3600	2.9827	0.8918	0.8412	0.2966	0.1851	0.1927	0.3255	1.3807E-3	0.428	0.170	15.921
